px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
177.047	34.218	2.56024	0.291842	-0.0712545	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.00153724
180.128	35.1339	3.69593	0.282261	-0.027948	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0.607538
179.998	35.1106	2.65926	0.297124	-0.00655243	179.543	35.4767	179.799	35.1289	2.47883	0.732949	1.14473
182.594	35.7562	2.87577	0.213295	-0.0602929	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.0391017
182.502	35.7373	2.51138	0.218855	-0.0560371	182.047	36.2626	182.292	35.8114	2.42515	0.611338	0.159647
184.735	36.5044	2.46262	0.351258	0.0747882	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.0803886
184.734	36.505	2.28748	0.354171	0.079294	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.0310735
186.938	36.9562	2.33585	0.162538	-0.107285	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.123297
187.005	36.9698	2.44727	0.154307	-0.113102	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.0261261
189.461	37.398	2.71148	0.154805	-0.0357837	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.0551772
189.481	37.4021	2.31467	0.155343	-0.0344651	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.166458
191.733	37.5681	2.40095	0.0357901	-0.0927871	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.0172195
191.701	37.5607	2.19005	0.0321095	-0.0971948	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.0471455
193.479	37.2891	1.77304	-0.214373	-0.199663	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.105877
193.509	37.2969	2.11238	-0.201237	-0.184657	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0988086
195.97	37.3661	2.61244	0.159107	0.186663	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	0.448618
195.866	37.3586	1.89835	0.127421	0.167585	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	0.557589
197.722	37.729	2.04905	0.280698	0.1577	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.0112547
197.678	37.7204	1.9261	0.282821	0.159276	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.0209112
199.289	37.3303	1.21916	-0.21527	-0.267512	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.678481
199.315	37.3447	1.68048	-0.209194	-0.25443	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.169771
201.523	36.9763	2.59374	-0.118591	-0.0231806	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	0.445887
201.403	36.9592	1.77869	-0.197784	-0.0862145	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	0.749399
202.964	36.4604	1.73775	-0.338822	-0.121477	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.00306577
202.925	36.4538	1.52926	-0.357621	-0.138958	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.0384551
203.991	36.1804	1.04455	-0.29486	-0.0106905	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.163696
203.98	36.1726	1.55004	-0.288126	8.95797e-05	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.191139
