px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
108.953	37.6299	106.932	-141.807	-11.0686	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	6.90165e-310
78.0147	47.463	148.049	-144.72	-10.7588	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.0673e+06
89.1642	55.0508	174.875	-181.537	-12.7083	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	6.90165e-310
80.7948	46.5077	160.106	-176.67	-9.21885	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	660780
89.4528	51.6001	189.117	-217.76	-10.8893	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	6.90165e-310
83.3398	43.2106	209.115	-216.999	-10.0981	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	220549
101.711	51.9463	247.006	-266.262	-11.9279	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	6.90165e-310
91.4675	49.4337	251.04	-264.562	-12.4698	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.0677e+07
102.236	56.1092	296.527	-324.779	-14.7292	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	6.90165e-310
92.1833	55.3928	348.12	-324.494	-14.6944	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.49093e+06
114.537	64.8874	411.198	-397.76	-17.357	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	6.90165e-310
114.057	26.4912	429.568	-400.387	-19.5608	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	9.10087e+07
139.025	29.0756	507.404	-492.197	-23.1051	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	6.90165e-310
84.7053	68.7115	445.897	-496.357	-24.2022	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	3.73928e+08
99.9357	80.0173	526.693	-610.126	-28.5876	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	6.90165e-310
110.782	-7.73549	510.562	-614.627	-28.3702	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.43051e+08
130.834	-9.21264	603.074	-753.93	-33.5108	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	6.90165e-310
104.642	13.3546	153.42	-753.046	-32.2957	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	4.59531e+08
124.149	15.4552	181.22	-921.296	-38.1476	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	6.90165e-310
109.789	27.5729	88.9919	-921.597	-38.0472	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	6.65462e+06
129.678	33.3032	105.117	-1126.05	-44.9412	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	6.90165e-310
114.713	41.4841	-53.2461	-1125.23	-44.9787	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	9351.83
135.238	49.4455	-62.8941	-1373.41	-53.1287	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	6.90165e-310
119.364	53.1323	75.9944	-1371.61	-52.7957	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	236765
140.73	62.7907	89.7643	-1672.13	-62.3621	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	6.90165e-310
124.357	58.4058	-46.368	-1671.31	-63.398	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	301187
146.848	69.0936	-54.7697	-2036.57	-74.8856	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	6.90165e-310
129.47	61.4972	53.3084	-2035.61	-76.698	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	15787.7
153.276	72.4409	62.9677	-2479.98	-90.5955	97.5286	18.727	97.45	18.506	0.868716	-0.503009	6.90165e-310
133.449	67.443	-157.638	-2480.32	-92.8319	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	3533.51
159.532	81.283	-186.201	-3021.16	-109.653	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	6.90165e-310
138.725	73.7783	-15.5166	-3020.75	-109.516	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	3.05142e+06
164.378	87.6469	-18.3282	-3675.94	-129.36	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	6.90165e-310
135.862	0.987496	762.945	-3677.75	-130.79	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	14488.1
154.44	4.89554	901.188	-4472.93	-154.488	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	6.90165e-310
110.075	30.3922	882.534	-4469.83	-153.375	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	6.40302e+09
134.332	37.8774	1042.45	-5430.77	-181.166	101.204	16.5368	101.065	16.497	0.991362	-0.513687	6.90165e-310
108.079	32.1105	1028.57	-5429.75	-181.498	101.169	16.4353	101.065	16.497	0.991362	-0.513687	8.49425e+09
40.103	-89.3326	1214.95	-6592.32	-214.385	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	6.90165e-310
227.046	-168.729	722.666	-6591.06	-212.826	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	8.69611e+07
244.845	-215.972	853.611	-7994.9	-251.39	103.003	15.353	103.119	15.4967	1.11708	-0.508169	6.90165e-310
309.563	148.9	8493.87	-7997.8	-249.38	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.24526e+08
315.848	65.59	10032.9	-9692.53	-294.567	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	6.90165e-310
107.561	73.6868	10828.1	-9693.84	-294.748	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.48012e+13
247.65	-75.0014	12790.1	-11740.6	-348.155	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	6.90165e-310
106.445	-7.54142	12372.3	-11746.2	-356.82	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	1.63311e+12
567.95	1033.84	14614.2	-14225.9	-421.474	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	6.90165e-310
-4558.79	2790.82	12291.5	-14221	-423.308	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.57785e+12
-5619.51	3265.88	14518.7	-17214.6	-500.009	108.084	13.6604	108.122	13.644	1.47592	-0.423202	6.90165e-310
228.503	950.729	12089.6	-17217.5	-496.257	108.131	13.6844	108.122	13.644	1.47592	-0.423202	4.5985e+12
-201.552	1243.7	14280.2	-20825.9	-586.177	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	6.90165e-310
-232.256	688.795	13221.1	-20825.7	-586.291	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	4.97744e+14
153.964	1266.96	15616.7	-25176.6	-692.525	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	6.90165e-310
550.515	648.363	14043.2	-25177.2	-693.149	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	9.32888e+13
1001.52	1275.24	16587.8	-30421.7	-818.746	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	6.90165e-310
-227.876	921.123	8842.47	-30420	-816.784	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	2.34261e+13
-481.982	925.913	10444.7	-36736.3	-964.782	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	6.90165e-310
536.251	580.819	7813.49	-36737.6	-965.48	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	1.96081e+13
1226.74	601.375	9229.27	-44345	-1140.42	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	6.90165e-310
588.958	-730.568	10373.6	-44345.1	-1138.82	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	2.61002e+12
1479.84	-1267.83	12253.3	-53501.6	-1345.17	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	6.90165e-310
2808.82	2352.27	12078.2	-53497.6	-1343.36	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	1.29804e+13
3716.13	3397.11	14266.7	-64513.9	-1586.77	120.695	12.2918	120.743	12.3289	2.21139	0.128528	6.90165e-310
3004.13	554.171	15271.1	-64512.6	-1582.88	120.934	12.1905	120.743	12.3289	2.21139	0.128528	1.81017e+13
3318.49	551.843	18038.2	-77760.6	-1869.7	123.568	12.8297	122.95	12.5114	2.29835	0.246599	6.90165e-310
1372.7	-1570.82	3029.52	-77762.1	-1869.26	123.142	12.7694	122.95	12.5114	2.29835	0.246599	3.18419e+12
1499.68	-1915.56	3578.46	-93693	-2207.97	124.894	12.7743	125.242	12.8125	2.37624	0.369827	6.90165e-310
1290.26	-71.8108	5773.08	-93697.1	-2212.09	125.376	12.9964	125.242	12.8125	2.37624	0.369827	5.16226e+10
1393.15	160.725	6819.15	-112853	-2612.91	127.853	13.3273	127.609	13.2365	2.44434	0.495787	6.90165e-310
103.507	-969.346	4561.38	-112852	-2614.83	127.506	13.153	127.609	13.2365	2.44434	0.495787	5.18395e+12
265.776	-1372.43	5387.88	-135876	-3088.62	129.947	13.6963	130.042	13.7853	2.50232	0.621879	6.90165e-310
120.922	-360.446	6578.72	-135880	-3091.4	130.334	13.781	130.042	13.7853	2.50232	0.621879	3.12598e+11
24.9811	-676.31	7770.76	-163545	-3651.55	132.092	14.507	132.53	14.458	2.55028	0.74543	6.90165e-310
243.946	-470.637	6932.42	-163544	-3651.82	132.447	14.3423	132.53	14.458	2.55028	0.74543	2.76134e+11
127.689	-1065.25	8188.55	-196774	-4313.51	135.074	15.0475	135.066	15.2513	2.58865	0.863795	6.90165e-310
15.1075	-540.595	8404.32	-196773	-4311.7	135.127	14.6575	135.066	15.2513	2.58865	0.863795	6.70489e+11
370.443	-697.617	9927.16	-236673	-5092.97	137.561	16.2147	137.639	16.1592	2.61821	0.974442	6.90165e-310
403.879	-260.051	8906.7	-236674	-5093.78	137.653	16.5145	137.639	16.1592	2.61821	0.974442	3.19122e+12
186.178	-32.5938	10520.6	-284575	-6016.76	140.331	17.008	140.242	17.1733	2.63994	1.07503	6.90165e-310
107.21	398.553	9622.81	-284574	-6015.49	140.305	17.5379	140.242	17.1733	2.63994	1.07503	9.65996e+13
286.807	270.522	11366.4	-342061	-7105.48	142.888	17.9918	142.868	18.2829	2.65497	1.16346	6.90165e-310
281.402	704.905	10481.9	-342060	-7105.04	142.626	18.1458	142.868	18.2829	2.65497	1.16346	9.9282e+13
1380.81	3352.9	12381.2	-411036	-8392.45	145.392	19.1617	145.51	19.4754	2.66445	1.23795	6.90165e-310
7808.57	1473.88	-193295	-410692	-8339.92	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.87085e+19
8.66972e+07	1.62215e+08	-228319	-493320	-9851.09	148.251	20.4754	148.163	20.7364	2.66951	1.29702	6.90165e-310
-2.77817e+07	-2.80342e+07	1.6322e+08	-773176	-24303.1	148.146	20.9376	148.163	20.7364	2.66951	1.29702	2.32593e+38
-1.03488e+07	-1.63724e+08	1.92794e+08	-937204	-28706.8	150.686	22.1142	150.825	22.0502	2.67111	1.33953	6.90165e-310
-1.2062e+07	4.13499e+08	-5.83144e+09	2.04995e+06	75059.9	150.649	21.8148	150.825	22.0502	2.67111	1.33953	6.12977e+37
6.68112e+17	9.19302e+16	-6.88808e+09	2.49527e+06	88641	153.422	23.4909	153.491	23.3999	2.66999	1.3647	6.90165e-310
-2.76791e+16	-2.72163e+17	-1.83112e+19	-2.02827e+16	-1.2914e+15	153.466	22.9115	153.491	23.3999	2.66999	1.3647	1.5626e+75
-1.82639e+35	-3.71731e+36	3.72517e+21	1.6306e+19	-8.04968e+17	156.047	24.8084	156.159	24.7682	2.66666	1.37208	6.90165e-310
1.55745e+36	2.93025e+36	-5.60387e+37	-6.53669e+34	-3.95214e+33	156.009	25.0678	156.159	24.7682	2.66666	1.37208	1.18504e+152
-5.64297e+72	-2.6697e+74	1.01108e+60	-1.35411e+57	1.085e+56	158.905	26.0308	158.827	26.1372	2.66127	1.36157	6.90165e-310
